OID_,name,count,code
608,Middlebie,0,608
609,Midmar,0,609
610,Minnigaff,0,610
611,Minto,0,611
612,Mochrum,0,612
613,Moffat,1,613
614,Moneydie,0,614
615,Monifieth,2,615
616,Monikie,0,616
617,Monimail,1,617
618,Monkton and Prestwick,0,618
619,Monquhitter,0,619
620,Montrose,8,620
621,Monymusk,0,621
622,Monzievaird and Strowan,0,622
623,Moonzie,0,623
624,Mordington,1,624
625,Morebattle,0,625
626,Morham,0,626
627,Mortlach,0,627
628,Morton,0,628
629,Morvern,0,629
630,Moulin,0,630
631,Mouswald,0,631
632,Moy and Dalarossie,0,632
633,Muckhart,0,633
634,Muiravonside,0,634
635,Muirkirk,4,635
636,Murroes,0,636
637,Muthill,0,637
638,Nairn,5,638
639,Neilston,0,639
640,Nenthorn,1,640
641,Nesting,0,641
642,New Abbey,1,642
643,New Cumnock,1,643
644,New Deer,1,644
645,New Kilpatrick,4,645
646,New Luce,2,646
647,New Machar,0,647
648,New Monkland,0,648
649,Newbattle,19,649
650,Newburgh,8,650
651,Newburn,0,651
652,Newhills,0,652
653,Newlands,1,653
654,Newton,15,654
655,Newtyle,0,655
656,Nigg (Aberdeen City),0,656
657,Nigg (Highland),3,657
658,North Berwick,30,658
659,North Bute,4,659
660,North Knapdale,0,660
661,North Uist,0,661
662,Northmaven,2,662
663,Oathlaw,5,663
664,Ochiltree,2,664
665,Old Cumnock,1,665
666,Old Deer,0,666
667,Old Kilpatrick,1,667
668,Old Luce,8,668
669,Old Machar,3,669
670,Old Monkland,2,670
671,Oldhamstocks,0,671
672,Olrig,0,672
673,Ordiquhill,0,673
674,Ormiston,18,674
675,Orphir,1,675
676,Orwell,1,676
677,Oxnam,0,677
678,Oyne,1,678
679,Paisley,14,679
680,Panbride,1,680
681,Papa Westray,2,681
682,Parton,0,682
683,Peebles,23,683
684,Pencaitland,52,684
685,Penicuik,12,685
686,Penninghame,6,686
687,Penpont,4,687
688,Perth,19,688
689,Peterculter,0,689
690,Peterhead,8,690
691,Pettinain,0,691
692,Petty,0,692
693,Pitsligo,0,693
694,Pittenweem,22,694
695,Polwarth,0,695
696,Port Glasgow,0,696
697,Port Of Menteith,2,697
698,Portmoak,0,698
699,Portpatrick,0,699
700,Portree,0,700
701,Premnay,0,701
702,Prestonkirk,1,702
703,Prestonpans,44,703
704,Rafford,0,704
705,Rathen,1,705
706,Ratho,1,706
707,Rathven,2,707
708,Rattray,0,708
709,Rayne,0,709
710,Reay,0,710
711,Redgorton,0,711
712,Renfrew,21,712
713,Rerrick,2,713
714,Rescobie,0,714
715,Resolis,0,715
716,Rhu,0,716
717,Rhynd,9,717
718,Rhynie,0,718
719,Riccarton,2,719
720,Roberton,0,720
721,Rogart,0,721
722,Rosemarkie,5,722
723,Rosneath,0,723
724,Rosskeen,0,724
725,Rothes,0,725
726,Rothesay,38,726
727,Rothiemay,0,727
728,Rousay and Egilsay,0,728
729,Roxburgh,11,729
730,Rutherglen,0,730
731,Ruthven,0,731
732,Ruthwell,1,732
733,Saddell and Skipness,0,733
734,Saline,0,734
735,Saltoun,15,735
736,Sandsting,1,736
737,Sandwick,0,737
738,Sanquhar,0,738
739,Scone,2,739
740,Scoonie,0,740
741,Selkirk,13,741
742,Shapinsay,2,742
743,Shotts,0,743
744,Skene,0,744
745,Skirling,5,745
746,Slains,1,746
747,Slamannan,0,747
748,Sleat,1,748
749,Smailholm,0,749
750,Small Isles,0,750
751,Snizort,0,751
752,Sorbie,0,752
753,Sorn,1,753
754,South Knapdale,0,754
755,South Ronaldsay,1,755
756,South Uist,0,756
757,Southdean,0,757
758,Southend,0,758
759,Speymouth,0,759
760,Spott,9,760
761,Sprouston,0,761
762,Spynie,1,762
763,St Andrews and Deerness,23,763
764,St Andrews and St Leonards,0,764
765,St Andrews-Lhanbryd,0,765
766,St Boswells,1,766
767,St Cyrus,1,767
768,St Fergus,0,768
769,St Madoes,0,769
770,St Martins,0,770
771,St Monance,0,771
772,St Mungo,0,772
773,St Ninians,1,773
774,Stair,0,774
775,Stenness,1,775
776,Stenton,7,776
777,Stevenston,0,777
778,Stewarton,0,778
779,Stichill,0,779
780,Stirling,31,780
781,Stobo,8,781
782,Stonehouse,0,782
783,Stoneykirk,0,783
784,Stornoway,1,784
785,Stow,3,785
786,Stracathro,0,786
787,Strachan,0,787
788,Strachur,0,788
789,Straiton,0,789
790,Stranraer,2,790
791,Strath,0,791
792,Strathblane,0,792
793,Strathdon,1,793
794,Strathlachlan,0,794
795,Strathmiglo,0,795
796,Strichen,0,796
797,Stromness,1,797
798,Stronsay,2,798
799,Swinton,1,799
800,Symington (South Ayrshire),1,800
801,Symington (South Lanarkshire),0,801
802,Tain,13,802
803,Tannadice,0,803
804,Tarbat,0,804
805,Tarbolton,7,805
806,Tarland,0,806
807,Tarves,0,807
808,Tealing,0,808
809,Temple,5,809
810,Terregles,1,810
811,Teviothead,0,811
812,Thurso,10,812
813,Tibbermore,0,813
814,Tillicoultry,0,814
815,Tingwall,5,815
816,Tinwald,0,816
817,Tiree,2,817
818,Tongland,2,818
819,Tongue,0,819
820,Torosay,0,820
821,Torphichen,0,821
822,Torryburn,19,822
823,Torthorwald,1,823
824,Tough,0,824
825,Towie,0,825
826,Tranent,28,826
827,Traquair,3,827
828,Trinity Gask,0,828
829,Troqueer,0,829
830,Tulliallan,0,830
831,Tullynessle and Forbes,0,831
832,Tundergarth,0,832
833,Turriff,3,833
834,Tweedsmuir,3,834
835,Twynholm,1,835
836,Tynron,0,836
837,Tyrie,0,837
838,Udny,0,838
839,Uig,0,839
840,Unst,0,840
841,Uphall,0,841
842,Urquhart,0,842
843,Urquhart and Glenmoriston,0,843
844,Urquhart and Logie Wester,0,844
845,Urr,1,845
846,Urray,1,846
847,Walls and Flotta,1,847
848,Walls and Sandness,7,848
849,Walston,0,849
850,Wamphray,0,850
851,Watten,1,851
852,Weem,0,852
853,Wemyss,10,853
854,West Calder,0,854
855,West Kilbride,9,855
856,West Linton,9,856
857,Westerkirk,0,857
858,Westray,8,858
859,Westruther,0,859
860,Whitburn,0,860
861,Whitekirk and Tyninghame,2,861
862,Whithorn,0,862
863,Whitsome,1,863
864,Whittingehame,3,864
865,Wick,16,865
866,Wigtown,0,866
867,Wiston and Roberton,0,867
868,Yarrow,0,868
869,Yell,0,869
870,Yester,2,870
871,Yetholm,0,871
