OID_,name,code,Population,Shape_Leng,Shape_Area
208,Whitecross,S20002044,750.000000000000000,2129.422697365281692,165966.366246681456687
209,Dumbarton,S20001692,21030.000000000000000,29213.797262298430724,7802050.590977262705564
210,Milton of Campsie,S20001889,3910.000000000000000,8861.827614131334485,1116064.510155155556276
211,Dullatur,S20001691,690.000000000000000,2982.985167232552612,355959.794781955599319
212,Langbank,S20001841,870.000000000000000,3384.168525455729650,427003.058052737382241
213,Longniddry,S20001867,2340.000000000000000,6608.224858743587902,1203900.507602979894727
214,Shieldhill,S20001973,2380.000000000000000,4650.702579855140357,515113.385869020363316
215,Linlithgow,S20001856,12840.000000000000000,16853.513373681533267,4369480.205024135299027
216,East Linton,S20001710,1790.000000000000000,6724.984905922154212,877498.323344883159734
217,Cardross,S20001627,2070.000000000000000,5552.630392829349148,759487.028900887235068
218,Cumbernauld and Croy,S20001666,52420.000000000000000,49262.452466581613407,22267543.496883030980825
219,Edinburgh,S20001714,530990.000000000000000,124949.611410329991486,125808899.096647366881371
220,Hallglen,S20001773,3080.000000000000000,4717.277028626728679,700989.734826564672403
221,Lennoxtown,S20001848,4260.000000000000000,11813.440259615323157,1343221.084589565172791
222,Kilsyth,S20001811,10380.000000000000000,16749.077565133706230,3393420.975270983297378
223,Greenock,S20001768,65690.000000000000000,62477.310535124117450,20591026.208044033497572
224,West Barns,S20002038,630.000000000000000,2416.754875650118720,264073.905087596562225
225,South Queensferry,S20001978,10400.000000000000000,16627.615655913243245,3175615.914267802145332
226,Dunbar,S20001694,10270.000000000000000,17227.969450083553966,3407699.427904689218849
227,Strathblane,S20001998,2000.000000000000000,15038.949107324517172,1251336.755437271669507
228,Aberlady,S20001543,1260.000000000000000,3264.478397050410422,405729.695897012948990
229,North Queensferry,S20001923,1050.000000000000000,6492.224925006817102,652264.953671662369743
230,Dunoon and Sandbank,S20001703,8980.000000000000000,27287.195703795990994,5015171.052478078752756
231,Vale of Leven,S20002032,24130.000000000000000,25027.727472862919967,9176593.167921751737595
232,Bo'ness,S20001600,14840.000000000000000,15555.731423059911322,5694360.390133034437895
233,Limekilns and Charlestown,S20001855,1450.000000000000000,9158.855280108718944,812370.762352968682535
234,Gullane,S20001770,2810.000000000000000,6646.009320944352112,1142555.818233437370509
235,Kilcreggan,S20001805,1280.000000000000000,17628.089274106136145,1594462.751121557317674
236,Bonnybridge,S20001601,25710.000000000000000,40272.646271590157994,8215575.536082707345486
237,Dalgety Bay and Hillend,S20001672,9710.000000000000000,11207.496860188306528,3455707.588310216087848
238,Falkirk,S20001725,103380.000000000000000,97077.346021298420965,43904480.191030248999596
239,Rosneath,S20001960,1260.000000000000000,6705.445462309014147,607414.390797507250682
240,Aberdour,S20001540,1710.000000000000000,7817.672464751949519,807569.844939433387481
241,North Berwick,S20001921,7840.000000000000000,16134.821099470709669,3909969.715882599353790
242,Killearn,S20001806,1910.000000000000000,10642.412704590822614,2681807.328870091121644
243,Burntisland,S20001617,6630.000000000000000,10481.101237136150303,2191997.585137607064098
244,High Valleyfield,S20001779,3310.000000000000000,16575.102491335685045,1373706.567436981480569
245,Cairneyhill,S20001619,2500.000000000000000,4223.669671531866697,662869.323407775722444
246,Crossford (Fife),S20001661,2320.000000000000000,7190.001866020518719,746845.741940815700218
247,Helensburgh,S20001778,15160.000000000000000,30309.245898195149493,7322933.895325141027570
248,Kinghorn,S20001814,2940.000000000000000,12478.136102362353995,1211191.687931408174336
249,Plean,S20001941,1950.000000000000000,6500.984356882927386,492991.365322673576884
250,Airth,S20001549,1960.000000000000000,5095.578454569356836,499919.767471325001679
251,Kincardine,S20001813,2940.000000000000000,6605.600102809396958,931327.049999970360659
252,Drymen,S20001689,830.000000000000000,8487.061190037122287,721431.201824568677694
253,Ardrishaig,S20001563,1220.000000000000000,10271.851376886737853,778500.682872471632436
254,Lochgilphead,S20001861,2280.000000000000000,12794.388616538628412,1909722.477258709259331
255,Balfron,S20001577,2140.000000000000000,7314.203004558453358,756226.260670312331058
256,Dunfermline,S20001699,76210.000000000000000,70003.289525532061816,28732811.493540782481432
257,"Oakley, Carnock and Comrie",S20001924,3860.000000000000000,11759.820457427258589,1396910.649718046188354
258,Cowie,S20001653,2720.000000000000000,5444.732057190809428,1150615.583024180494249
259,Townhill,S20002024,1160.000000000000000,4041.436694395255472,275371.177285656449385
260,Blairhall,S20001598,930.000000000000000,2479.782393873547790,323487.383254813263193
261,Kingseat (Fife),S20001817,860.000000000000000,3456.867322104616051,265048.960436931287404
262,Garelochhead,S20001748,3650.000000000000000,17452.392566644386534,2225284.313314692117274
263,Fallin,S20001727,2850.000000000000000,4598.381881129785143,698146.509742095251568
264,Clackmannan,S20001640,3260.000000000000000,5410.002463968913617,885345.839734662789851
265,Saline,S20001964,1370.000000000000000,5443.191274577368858,504453.687230010167696
266,Buchlyvie,S20001614,550.000000000000000,3859.468375079774887,225522.913090775226010
