year,commodity,port,value,type,unit,quantity
1790,Broadcloth,St_Helena,426,export,cloths,20
1790,Broadcloth,Benkulen,0,export,cloths,0
1790,Broadcloth,China,101699,export,cloths,4605
1790,Broadcloth,Angola,0,export,cloths,0
1790,Broadcloth,Penang,0,export,cloths,0
1790,Broadcloth,Java,0,export,cloths,0
1791,Broadcloth,Bengal,34819,export,cloths,2117
1791,Broadcloth,Madras,18272,export,cloths,1134
1791,Broadcloth,Bombay,16515,export,cloths,905
1791,Broadcloth,St_Helena,209,export,cloths,10
1791,Broadcloth,Benkulen,32,export,cloths,3
1791,Broadcloth,China,142550,export,cloths,6386
1791,Broadcloth,Angola,0,export,cloths,0
1791,Broadcloth,Penang,0,export,cloths,0
1791,Broadcloth,Java,0,export,cloths,0
1792,Broadcloth,Bengal,38251,export,cloths,2303
1792,Broadcloth,Madras,17039,export,cloths,1061
1792,Broadcloth,Bombay,27692,export,cloths,1636
1792,Broadcloth,St_Helena,480,export,cloths,21
1792,Broadcloth,Benkulen,32,export,cloths,3
1792,Broadcloth,China,149013,export,cloths,6599
1792,Broadcloth,Angola,0,export,cloths,0
1792,Broadcloth,Penang,0,export,cloths,0
1792,Broadcloth,Java,0,export,cloths,0
1793,Broadcloth,Bengal,37410,export,cloths,2296
1793,Broadcloth,Madras,16562,export,cloths,1047
1793,Broadcloth,Bombay,27072,export,cloths,1552
1793,Broadcloth,St_Helena,275,export,cloths,16
1793,Broadcloth,Benkulen,0,export,cloths,0
1793,Broadcloth,China,167969,export,cloths,7156
1793,Broadcloth,Angola,0,export,cloths,0
1793,Broadcloth,Penang,0,export,cloths,0
1793,Broadcloth,Java,0,export,cloths,0
1794,Broadcloth,Bengal,36603,export,cloths,2057
1794,Broadcloth,Madras,18596,export,cloths,1037
1794,Broadcloth,Bombay,42147,export,cloths,2197
1794,Broadcloth,St_Helena,512,export,cloths,20
1794,Broadcloth,Benkulen,329,export,cloths,18
1794,Broadcloth,China,171367,export,cloths,7087
1794,Broadcloth,Angola,0,export,cloths,0
1794,Broadcloth,Penang,0,export,cloths,0
1794,Broadcloth,Java,0,export,cloths,0
1795,Broadcloth,Bengal,23449,export,cloths,1356
1795,Broadcloth,Madras,19329,export,cloths,1175
1795,Broadcloth,Bombay,21972,export,cloths,1109
1795,Broadcloth,St_Helena,506,export,cloths,26
1795,Broadcloth,Benkulen,995,export,cloths,53
1795,Broadcloth,China,164531,export,cloths,6966
1795,Broadcloth,Angola,0,export,cloths,0
1795,Broadcloth,Penang,0,export,cloths,0
1795,Broadcloth,Java,0,export,cloths,0
1796,Broadcloth,Bengal,39594,export,cloths,2310
1796,Broadcloth,Madras,37795,export,cloths,2276
1796,Broadcloth,Bombay,57726,export,cloths,3286
1796,Broadcloth,St_Helena,711,export,cloths,32
1796,Broadcloth,Benkulen,2085,export,cloths,114
1796,Broadcloth,China,105811,export,cloths,4462
1796,Broadcloth,Angola,0,export,cloths,0
1796,Broadcloth,Penang,0,export,cloths,0
1796,Broadcloth,Java,0,export,cloths,0
1797,Broadcloth,Bengal,45537,export,cloths,2568
1797,Broadcloth,Madras,39798,export,cloths,2325
1797,Broadcloth,Bombay,71161,export,cloths,3896
1797,Broadcloth,St_Helena,743,export,cloths,38
1797,Broadcloth,Benkulen,1111,export,cloths,63
1797,Broadcloth,China,74911,export,cloths,3196
1797,Broadcloth,Angola,0,export,cloths,0
1797,Broadcloth,Penang,0,export,cloths,0
1797,Broadcloth,Java,0,export,cloths,0
1798,Broadcloth,Bengal,45348,export,cloths,2571
1798,Broadcloth,Madras,21103,export,cloths,1239
1798,Broadcloth,Bombay,54522,export,cloths,3101
1798,Broadcloth,St_Helena,781,export,cloths,37
1798,Broadcloth,Benkulen,0,export,cloths,0
1798,Broadcloth,China,73352,export,cloths,3143
1798,Broadcloth,Angola,0,export,cloths,0
1798,Broadcloth,Penang,0,export,cloths,0
1798,Broadcloth,Java,0,export,cloths,0
1799,Broadcloth,Bengal,69753,export,cloths,3731
1799,Broadcloth,Madras,11163,export,cloths,675
1799,Broadcloth,Bombay,52284,export,cloths,2717
1799,Broadcloth,St_Helena,802,export,cloths,39
1799,Broadcloth,Benkulen,0,export,cloths,0
1799,Broadcloth,China,175650,export,cloths,7049
1799,Broadcloth,Angola,0,export,cloths,0
1799,Broadcloth,Penang,0,export,cloths,0
1799,Broadcloth,Java,0,export,cloths,0
1800,Broadcloth,Bengal,76492,export,cloths,4125
1800,Broadcloth,Madras,19014,export,cloths,996
1800,Broadcloth,Bombay,53395,export,cloths,2634
1800,Broadcloth,St_Helena,1160,export,cloths,50
1800,Broadcloth,Benkulen,0,export,cloths,0
1800,Broadcloth,China,179701,export,cloths,7174
1800,Broadcloth,Angola,0,export,cloths,0
1800,Broadcloth,Penang,0,export,cloths,0
1800,Broadcloth,Java,0,export,cloths,0
1801,Broadcloth,Bengal,64017,export,cloths,3430
1801,Broadcloth,Madras,55411,export,cloths,2917
1801,Broadcloth,Bombay,49280,export,cloths,2395
1801,Broadcloth,St_Helena,731,export,cloths,41
1801,Broadcloth,Benkulen,1609,export,cloths,79
1801,Broadcloth,China,177240,export,cloths,7102
1801,Broadcloth,Angola,0,export,cloths,0
1801,Broadcloth,Penang,0,export,cloths,0
1801,Broadcloth,Java,0,export,cloths,0
1802,Broadcloth,Bengal,78837,export,cloths,4053
1802,Broadcloth,Madras,83446,export,cloths,4380
1802,Broadcloth,Bombay,51013,export,cloths,2488
1802,Broadcloth,St_Helena,1313,export,cloths,54
1802,Broadcloth,Benkulen,1767,export,cloths,78
1802,Broadcloth,China,184166,export,cloths,7269
1802,Broadcloth,Angola,0,export,cloths,0
1802,Broadcloth,Penang,0,export,cloths,0
1802,Broadcloth,Java,0,export,cloths,0
1803,Broadcloth,Bengal,57789,export,cloths,3020
1803,Broadcloth,Madras,103905,export,cloths,5818
1803,Broadcloth,Bombay,54054,export,cloths,2740
1803,Broadcloth,St_Helena,656,export,cloths,34
1803,Broadcloth,Benkulen,1681,export,cloths,84
1803,Broadcloth,China,242376,export,cloths,9835
1803,Broadcloth,Angola,0,export,cloths,0
1803,Broadcloth,Penang,0,export,cloths,0
1803,Broadcloth,Java,0,export,cloths,0
1804,Broadcloth,Bengal,65155,export,cloths,3250
1804,Broadcloth,Madras,55326,export,cloths,2964
1804,Broadcloth,Bombay,41636,export,cloths,2137
1804,Broadcloth,St_Helena,514,export,cloths,19
1804,Broadcloth,Benkulen,2248,export,cloths,105
1804,Broadcloth,China,245726,export,cloths,9836
1804,Broadcloth,Angola,0,export,cloths,0
1804,Broadcloth,Penang,0,export,cloths,0
1804,Broadcloth,Java,0,export,cloths,0
1805,Broadcloth,Bengal,73647,export,cloths,3366
1805,Broadcloth,Madras,50100,export,cloths,2553
1805,Broadcloth,Bombay,27209,export,cloths,1352
1805,Broadcloth,St_Helena,811,export,cloths,29
1805,Broadcloth,Benkulen,2437,export,cloths,123
1805,Broadcloth,China,231225,export,cloths,9664
1805,Broadcloth,Angola,0,export,cloths,0
1805,Broadcloth,Penang,24200,export,cloths,1240
1805,Broadcloth,Java,0,export,cloths,0
1806,Broadcloth,Bengal,52859,export,£,52859
1806,Broadcloth,Madras,24261,export,£,24261
1806,Broadcloth,Bombay,65123,export,£,65123
1806,Broadcloth,St_Helena,774,export,£,774
1806,Broadcloth,Benkulen,2930,export,£,2930
1806,Broadcloth,China,237487,export,£,237487
1806,Broadcloth,Angola,0,export,£,0
1806,Broadcloth,Penang,0,export,£,0
1806,Broadcloth,Java,0,export,£,0
1807,Broadcloth,Bengal,34866,export,cloths,1729
1807,Broadcloth,Madras,11833,export,cloths,556
1807,Broadcloth,Bombay,130539,export,cloths,7104
1807,Broadcloth,St_Helena,1563,export,cloths,54
1807,Broadcloth,Benkulen,2793,export,cloths,140
1807,Broadcloth,China,244394,export,cloths,9954
1807,Broadcloth,Angola,0,export,cloths,0
1807,Broadcloth,Penang,0,export,cloths,0
1807,Broadcloth,Java,0,export,cloths,0
1808,Broadcloth,Bengal,71746,export,cloths,3722
1808,Broadcloth,Madras,11697,export,cloths,578
1808,Broadcloth,Bombay,97939,export,cloths,5107
1808,Broadcloth,St_Helena,1962,export,cloths,56
1808,Broadcloth,Benkulen,4328,export,cloths,214
